47	0.0997999	0.0628325	0.479962	0.0878763	0.302177	0.0348321	0.922412	0.926554
48	0.0984379	0.0632632	0.464939	0.0809167	0.298803	0.0334207	0.922806	0.926886
49	0.0910268	0.0599305	0.449316	0.0759558	0.295822	0.0329245	0.92458	0.927756
50	0.0836785	0.0564308	0.434594	0.0713854	0.29308	0.0324649	0.924958	0.92842
60	0.0617599	0.0503012	0.327914	0.0383461	0.267074	0.025437	0.928326	0.931346
70	0.0465961	0.0445436	0.25833	0.0228019	0.246951	0.0208374	0.932246	0.933302
80	0.0348651	0.0383389	0.209928	0.0146816	0.230845	0.017753	0.933492	0.935776
90	0.0281432	0.0349417	0.175414	0.0100387	0.217788	0.0154745	0.93569	0.936726
100	0.0217248	0.0301159	0.148899	0.00717468	0.206411	0.0137874	0.937142	0.938444
110	0.0198896	0.0303231	0.12886	0.00522515	0.196456	0.0121449	0.937962	0.93928
120	0.0166116	0.0277027	0.112709	0.00393303	0.187961	0.0109383	0.939122	0.940126
130	0.0131326	0.0238196	0.0996211	0.00305815	0.18069	0.0100606	0.940612	0.941738
140	0.0111913	0.0219031	0.0889764	0.00242329	0.174141	0.00928232	0.941094	0.94187
150	0.00872459	0.0183623	0.0800751	0.00196915	0.168531	0.00872254	0.942144	0.942668
160	0.00951859	0.0213161	0.072709	0.00158709	0.162826	0.00795929	0.942276	0.943094
170	0.00854221	0.0203325	0.0663641	0.00131237	0.157963	0.00743528	0.942786	0.94285
180	0.00650788	0.0164695	0.0606867	0.00110763	0.15358	0.00709377	0.942954	0.943648
190	0.00538711	0.0144238	0.0558574	0.000936392	0.149557	0.00671286	0.944514	0.944128
200	0.00521183	0.0146826	0.0517335	0.000795498	0.145742	0.00631345	0.94395	0.944638
210	0.00490453	0.0145144	0.0480137	0.000682057	0.142091	0.00597345	0.943972	0.94496
220	0.00443293	0.0137512	0.0447577	0.000592152	0.138841	0.00569815	0.944266	0.94515
230	0.00336002	0.0109246	0.0417833	0.000519267	0.135853	0.00548934	0.944206	0.944966
240	0.00406063	0.0137404	0.0392733	0.000451448	0.132893	0.00516915	0.944836	0.945364
250	0.00375202	0.013231	0.0368825	0.000394685	0.130062	0.00490806	0.945504	0.945702
300	0.00336601	0.0142301	0.0280938	0.00022401	0.118769	0.00400364	0.945268	0.94563
350	0.00222612	0.0110166	0.0222067	0.00014027	0.109897	0.00343529	0.94609	0.946332
400	0.00162856	0.00922519	0.0181608	9.31977e-05	0.102874	0.00299053	0.946884	0.94713
450	0.00109798	0.00701683	0.0151978	6.5863e-05	0.0971242	0.00268988	0.94675	0.947294
500	0.0013354	0.00945408	0.0129863	4.71989e-05	0.0919375	0.00236564	0.947308	0.947352
550	0.000850794	0.00664475	0.0112029	3.52197e-05	0.0874951	0.00214829	0.94763	0.947972
